ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
17,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
18,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
19,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
20,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
21,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
22,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
23,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
24,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
25,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
26,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
27,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
28,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
29,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
30,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
31,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
32,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
33,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
34,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
35,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
36,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
37,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
38,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
39,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
40,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
41,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
42,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
43,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
44,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
45,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
46,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
47,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
48,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
49,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
50,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
51,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
52,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
53,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
54,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
55,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
56,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
57,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
58,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
59,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
60,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
61,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
62,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
63,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
64,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
65,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
66,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
67,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
68,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
69,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
70,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
71,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
72,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
73,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
74,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
75,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
76,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
77,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
78,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
79,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
80,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
81,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
82,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
83,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
