ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
11,FGV,GCM-SP,Língua Portuguesa,Concordância verbal,"Sobre Concordância verbal em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
12,VUNESP,PP-SP,Língua Portuguesa,Conjunções e conectivos,Assinale a alternativa correta quanto à crase em contexto policial: Conjunções e conectivos,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,A,Gabarito A. Conjunções e conectivos em Língua Portuguesa: conforme banca VUNESP para PP-SP. Entendimento pacificado nos tribunais superiores.
13,VUNESP,PC-SP,Língua Portuguesa,Concordância verbal,"Em relatório de Concordância verbal, a redação oficial exige:",Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
14,FGV,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância",Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual."
15,FGV,PP-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'concordância verbal' à disposição.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca FGV para PP-SP. Padrão cobrado em provas de áreas policiais SP.
16,VUNESP,PC-SP,Língua Portuguesa,Concordância verbal,"Quanto à Concordância verbal, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'concordância verbal' à disposição.,A,Gabarito A. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
17,FGV,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
18,VUNESP,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Incorreto: uso de crase antes de verbo.,A,"Gabarito A. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP."
19,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância","Sobre Crase, regência e concordância em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",A,"Gabarito A. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP."
20,FGV,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
21,VUNESP,PP-SP,Língua Portuguesa,"Crase, regência e concordância","Em relatório de Crase, regência e concordância, a redação oficial exige:",Incorreto: uso de crase antes de verbo.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PP-SP. Doutrina majoritária e jurisprudência atual."
22,FGV,PC-SP,Língua Portuguesa,Pontuação,"Sobre Pontuação em ocorrência policial, conforme norma culta, assinale a correta:",Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
23,FGV,PP-SP,Língua Portuguesa,Interpretação de texto,"Sobre Interpretação de texto em ocorrência policial, conforme norma culta, assinale a correta:",Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,B,Gabarito B. Interpretação de texto em Língua Portuguesa: conforme banca FGV para PP-SP. Doutrina majoritária e jurisprudência atual.
24,VUNESP,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Quanto à Crase, regência e concordância, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP."
25,VUNESP,PP-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PP-SP. Padrão cobrado em provas de áreas policiais SP.
26,VUNESP,PC-SP,Língua Portuguesa,Ortografia e acentuação,Assinale a alternativa correta quanto à crase em contexto policial: Ortografia e acentuação,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Incorreto: uso de crase antes de verbo.,A,Gabarito A. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
27,VUNESP,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Vedado uso de crase antes de masculino.,C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual."
28,VUNESP,PC-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
29,FGV,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Em relatório de Ortografia e acentuação, a redação oficial exige:",Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
30,VUNESP,GCM-SP,Língua Portuguesa,"Crase, regência e concordância","Sobre Crase, regência e concordância em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Incorreto: uso de crase antes de verbo.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP."
31,FGV,PC-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'pontuação' à disposição.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
32,FGV,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Em relatório de Ortografia e acentuação, a redação oficial exige:",Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
33,FGV,GCM-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância",Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca FGV para GCM-SP. Conforme manual e legislação específica."
34,FGV,PC-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'concordância verbal' à disposição.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
35,VUNESP,PC-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'pontuação' à disposição.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
36,FGV,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
37,VUNESP,GCM-SP,Língua Portuguesa,Pontuação,"Sobre Pontuação em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'pontuação' à disposição.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
38,FGV,GCM-SP,Língua Portuguesa,Pontuação,"Sobre Pontuação em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'pontuação' à disposição.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
39,VUNESP,GCM-SP,Língua Portuguesa,Ortografia e acentuação,"Em relatório de Ortografia e acentuação, a redação oficial exige:",Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
40,VUNESP,GCM-SP,Língua Portuguesa,Ortografia e acentuação,Assinale a alternativa correta quanto à crase em contexto policial: Ortografia e acentuação,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
41,VUNESP,GCM-SP,Língua Portuguesa,Pontuação,Assinale a alternativa correta quanto à crase em contexto policial: Pontuação,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
42,FGV,GCM-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância","Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca FGV para GCM-SP. Conforme manual e legislação específica."
43,FGV,PM-SP,Língua Portuguesa,Conjunções e conectivos,"Sobre Conjunções e conectivos em ocorrência policial, conforme norma culta, assinale a correta:",Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,A,Gabarito A. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
44,VUNESP,GCM-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
45,VUNESP,PP-SP,Língua Portuguesa,Pontuação,"Sobre Pontuação em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'pontuação' à disposição.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca VUNESP para PP-SP. Padrão cobrado em provas de áreas policiais SP.
46,FGV,PM-SP,Língua Portuguesa,Conjunções e conectivos,"Sobre Conjunções e conectivos em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
47,FGV,PM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
48,VUNESP,PM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'pontuação' à disposição.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PM-SP. Conforme manual e legislação específica.
49,FGV,PP-SP,Língua Portuguesa,Conjunções e conectivos,"Quanto à Conjunções e conectivos, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PP-SP. Entendimento pacificado nos tribunais superiores.
50,FGV,PP-SP,Língua Portuguesa,Interpretação de texto,"Sobre Interpretação de texto em ocorrência policial, conforme norma culta, assinale a correta:",Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Interpretação de texto em Língua Portuguesa: conforme banca FGV para PP-SP. Entendimento pacificado nos tribunais superiores.
51,FGV,PC-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
52,FGV,GCM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
53,FGV,PP-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Uso obrigatório de crase em 'concordância verbal' à disposição.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,A,Gabarito A. Concordância verbal em Língua Portuguesa: conforme banca FGV para PP-SP. Padrão cobrado em provas de áreas policiais SP.
54,VUNESP,GCM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
55,VUNESP,PC-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
56,VUNESP,GCM-SP,Língua Portuguesa,Interpretação de texto,"Quanto à Interpretação de texto, assinale a alternativa que atende à norma padrão:",Uso obrigatório de crase em 'interpretação de texto' à disposição.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,B,Gabarito B. Interpretação de texto em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
57,FGV,GCM-SP,Língua Portuguesa,Ortografia e acentuação,Assinale a alternativa correta quanto à crase em contexto policial: Ortografia e acentuação,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
58,VUNESP,PC-SP,Língua Portuguesa,Conjunções e conectivos,Assinale a alternativa correta quanto à crase em contexto policial: Conjunções e conectivos,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
59,VUNESP,PM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
60,VUNESP,GCM-SP,Língua Portuguesa,"Crase, regência e concordância","Quanto à Crase, regência e concordância, assinale a alternativa que atende à norma padrão:",Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores."
